Source/Company,Integration Status,OAuth PKCE supported,FHIR Documentation Link,FHIR Version,Notes,,
Quest Diagnostics,SKIPPED,,,,No FHIR compatible API,,
Labcorp,,,,,,,
Abbott Laboratories,,,,,,,
Siemens Healthineers,,,,,,,
Danaher,,,,,,,
Becton Dickinson,,,,,,,
"Bio-Reference Laboratories, Inc.",,,,,,,
bioMérieux,,,,,,,
"Spectra Laboratories, Inc.",,,,,,,
Charles River Laboratories,,,,,,,
ARUP Laboratories,,,,,,,
Sonic Healthcare Ltd,,,,,,,
Genomic Health,,,,,,,
NeoGenomics,,,,,,,
Alere Inc.,,,,,,,
"CareDx, Inc",,,,,,,
EXACT Sciences Corporation,,,,,,,
Fulgent Genetics,,,,,,,
F2 Labs,,,,,,,
"Clarient, Inc.",,,,,,,
Genoptix Medical Laboratory,,,,,,,
Sanofi,,,,,,,
DaVita,,,,,,,
Myriad Genetics,,,,,,,
Humana,requirements,,,,,,
UnitedHealth Group,,,,,Tax ID/Business number,,
Anthem,,,,,,,
Cigna,COMPLETE,YES,,FHIR 4.0.1,,,
Kaiser Permanente,ACCOUNT_CREATED,,,,,,
Molina Healthcare,,,,,,,
Golden Rule Insurance Company,,,,,,,
Aetna) 1,COMPLETE,YES,,FHIR 4.0.1,,,
Centene Corporation,,,,,,,
Blue Cross Blue Shield Association,,,,,,,
HealthPartners,,,,,,,
CVS Health Corporation,,,,,,,
Highmark,,,,,,,
HCSC,,,,,,,
Premera Blue Cross,,,,,,,
Blue Shield of California,,,,,,,
WellCare Health Plans,,,,,,,
Independence Blue Cross,,,,,,,
Medical Mutual of Ohio,,,,,,,
Horizon Blue Cross Blue Shield of New Jersey,,,,,,,
UnitedHealthcare Insurance Co,,,,,,,
BlueCross BlueShield of South Carolina,,,,,,,
Mutual of Omaha Insurance Company,,,,,,,
EmblemHealth,,,,,,,
Medicare BlueButton,UNDER_DEVELOPMENT,NO,FHIR 4.0.1,,,,